Servidor,IP,Region,Coord,,Dia,Hora
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,lunes,12:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,lunes,12:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,lunes,12:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,lunes,23:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,lunes,23:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,lunes,23:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,martes,12:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,martes,12:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,martes,12:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,martes,23:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,martes,23:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,martes,23:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,miercoles,12:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,miercoles,12:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,miercoles,12:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,miercoles,23:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,miercoles,23:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,miercoles,23:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,jueves,12:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,jueves,12:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,jueves,12:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,jueves,23:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,jueves,23:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,jueves,23:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,viernes,12:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,viernes,12:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,viernes,12:30:00
gettec.es,34.175.65.158,Madrid,40.4165,-3.7026,viernes,23:30:00
aipg-tx.org,50.87.145.180,Utah,40.2338,-111.6585,viernes,23:30:00
bmgs.com.au,43.250.142.14,NewSouthWales,-33.8678,151.2073,viernes,23:30:00
